theta_ms,contrast,contrast_normalized
-500,9.167925385914324e-10,0.06851727233314746
-495,9.30253145707617e-10,0.06952326228695546
-490,9.460149508746583e-10,0.07070123423985926
-485,9.639923006584368e-10,0.07204478680940338
-480,9.840759199155107e-10,0.07354575322453848
-475,1.0061413256890154e-09,0.07519483014530777
-470,1.0300547500654687e-09,0.07698202031260228
-465,1.0556738972505862e-09,0.07889668912886753
-460,1.0828538279815002e-09,0.08092800443466983
-455,1.11144995602538e-09,0.08306516045457635
-450,1.141313769427448e-09,0.08529705802097624
-445,1.172296528894216e-09,0.08761258097590618
-440,1.2042483368114232e-09,0.09000052659331192
-435,1.237017739036528e-09,0.09244957581867058
-430,1.2704518664946995e-09,0.09494830385128779
-425,1.3043966331501588e-09,0.0974851949398547
-420,1.3387013853244633e-09,0.10004898985321561
-415,1.3732169799596484e-09,0.10262854225772469
-410,1.4078033634350504e-09,0.10521338512658542
-405,1.4423294848339145e-09,0.10779372425775666
-400,1.4766765210887787e-09,0.11036067930794363
-395,1.510743195337937e-09,0.1129066812645045
-390,1.5444452511431546e-09,0.11542543315066281
-385,1.5777202248457518e-09,0.11791226669160985
-380,1.610526548035763e-09,0.12036407523677188
-375,1.6428444305897713e-09,0.12277937975439565
-370,1.6746767944338345e-09,0.12515839861711733
-365,1.7060480674731797e-09,0.1275029574652694
-360,1.737004094893255e-09,0.12981648257788916
-355,1.7676088954737983e-09,0.13210375845308392
-350,1.7979455067798781e-09,0.1343709909741045
-345,1.8281124847149424e-09,0.13662554580045655
-340,1.858220893337153e-09,0.13887572339925683
-335,1.8883912415601115e-09,0.14113053010694926
-330,1.9187485198000566e-09,0.14339930718889976
-325,1.949417740402175e-09,0.14569139754935284
-320,1.9805186815640976e-09,0.14801575291407107
-315,2.0121607953806426e-09,0.15038055327871586
-310,2.0444384223806254e-09,0.1527928492631743
-305,2.077425791952887e-09,0.15525818846413403
-300,2.1111734565430025e-09,0.15778034896173285
-295,2.1457076070486737e-09,0.16036128815504958
-290,2.1810310616214155e-09,0.1630012166610414
-285,2.2171267186873815e-09,0.16569885637900036
-280,2.253960304530451e-09,0.1684516458335191
-275,2.291490348015304e-09,0.1712564856439274
-270,2.3296769460003998e-09,0.17411039361490757
-265,2.3684905974874316e-09,0.1770111649641888
-260,2.4079249550638525e-09,0.1799583253124805
-255,2.4480061531601084e-09,0.1829538278387329
-250,2.4888029530158844e-09,0.18600281147284256
-245,2.530430231886298e-09,0.1891138616644531
-240,2.573064138017143e-09,0.19230014300295642
-235,2.616934502696436e-09,0.1955788321256928
-230,2.662334521436139e-09,0.19897184124932454
-225,2.709614106361421e-09,0.2025053213549773
-220,2.7591825036876154e-09,0.20620985780761314
-215,2.811499917536028e-09,0.2101198443547606
-210,2.8670719871634993e-09,0.21427307037755544
-205,2.9264509417195207e-09,0.21871080719249872
-200,2.990226761437716e-09,0.22347714747556321
-195,3.0590214922851202e-09,0.22861858036265809
-190,3.1334908851141123e-09,0.2341841139530466
-185,3.2143217321944433e-09,0.24022507625279563
-180,3.3022299731800617e-09,0.24679497362259065
-175,3.397961736985836e-09,0.2539495686432815
-170,3.5022946891912435e-09,0.2617469808152461
-165,3.616036190931295e-09,0.27024754896153347
-160,3.7400282946388835e-09,0.2795142045889292
-155,3.875141775946977e-09,0.28961202585707535
-150,4.022274683817308e-09,0.3006081292211015
-145,4.182349776530206e-09,0.31257147780813804
-140,4.356301458309238e-09,0.3255719051148164
-135,4.545067548270689e-09,0.33967949985268764
-130,4.7495703629342004e-09,0.35496319213352046
-125,4.970696885488517e-09,0.3714892714024618
-120,5.2092748575576875e-09,0.3893195996357921
-115,5.466035004208952e-09,0.40850878819467024
-110,5.74157778029347e-09,0.42910171258454466
-105,6.036326313242814e-09,0.4511299955949128
-100,6.350478821848705e-09,0.4746084512762409
-95,6.683953920841137e-09,0.4995309972309592
-90,7.036330678298506e-09,0.5258661747528802
-85,7.406793206932806e-09,0.5535530078096387
-80,7.794069487770832e-09,0.5824964309783266
-75,8.196381421875903e-09,0.6125635565183141
-70,8.611401634185984e-09,0.6435804460692477
-65,9.036222362800846e-09,0.6753297855653912
-60,9.467346983530943e-09,0.7075502518155569
-55,9.900698254927442e-09,0.7399371287024572
-50,1.0331656366604352e-08,0.7721451507565121
-45,1.0755124398191883e-08,0.8037933952865598
-40,1.1165622216227559e-08,0.8344722998441018
-35,1.1557411032329111e-08,0.8637529711845943
-30,1.1924642536982254e-08,0.8911983309082777
-25,1.2261527685966875e-08,0.9163757298577024
-20,1.2562521107238624e-08,0.9388707299233092
-15,1.2822510965575853e-08,0.9583012937397618
-10,1.3037000983210993e-08,0.9743313881530824
-5,1.3202283994138846e-08,0.9866839549499127
0,1.331558704075035e-08,0.9951517547781957
5,1.3375181632174498e-08,0.999605607398402
10,1.3380458786125733e-08,1.0
15,1.333195710095476e-08,0.9963751851901173
20,1.3231338793214029e-08,0.9888553901405587
25,1.3081325477092549e-08,0.9776440170090911
30,1.2885586411873156e-08,0.9630152910178452
35,1.2648593525384983e-08,0.9453034255073806
40,1.2375444683930064e-08,0.9248894138639122
45,1.2071671393503613e-08,0.9021866579059898
50,1.1743040499445929e-08,0.8776261477388465
55,1.139535305970167e-08,0.851641430375883
60,1.1034262470482918e-08,0.8246550172049707
65,1.0665114380382767e-08,0.7970664198331883
70,1.02928119892906e-08,0.769242083086364
75,9.921712948515727e-09,0.7415076797518784
80,9.555565295044396e-09,0.7141433225707187
85,9.197473758528867e-09,0.6873810461615691
90,8.84989788455668e-09,0.6614046667617396
95,8.514677771962025e-09,0.6363517057270816
100,8.193081961085102e-09,0.6123169685018985
105,7.885870742102767e-09,0.5893572760210336
110,7.593371143295856e-09,0.5674970690219876
115,7.315552963384799e-09,0.5467340903863726
120,7.052107453742987e-09,0.5270452655222371
125,6.802521096817569e-09,0.5083922162572735
130,6.566138121743846e-09,0.49072593299658074
135,6.342220433599102e-09,0.47399125358656485
140,6.129992483783884e-09,0.4581302167411557
145,5.928678529761697e-09,0.443084846680233
150,5.737528853617365e-09,0.42879911259594766
155,5.5558408198169686e-09,0.415220502422372
160,5.382971021902484e-09,0.40230093062908384
165,5.218343895399147e-09,0.38999738191414446
170,5.061453626960862e-09,0.37827205388570906
175,4.911865109926377e-09,0.3670924284763326
180,4.7692116267424225e-09,0.35643109873688655
185,4.633189958275002e-09,0.34626540332676636
190,4.5035548884020615e-09,0.33657701580993776
195,4.380111452803806e-09,0.32735136536166953
200,4.262704799177625e-09,0.31857687896304765
205,4.15121144351186e-09,0.3102443279311373
210,4.0455256778233255e-09,0.3023458120896536
215,3.945548042207583e-09,0.2948738982178057
220,3.851176162686518e-09,0.28782093530902114
225,3.7622887963632924e-09,0.28117786217199287
230,3.6787390506834213e-09,0.2749337006663721
235,3.6003452890232645e-09,0.2690748760241675
240,3.526885735955989e-09,0.26358481366969533
245,3.4580959364117794e-09,0.25844374932775077
250,3.3936705797347823e-09,0.2536288653460595
255,3.3332705767848074e-09,0.24911481960850945
260,3.276522510366425e-09,0.24487370446250079
265,3.2230397862084627e-09,0.24087662745543892
270,3.1724247191101435e-09,0.2370938672446454
275,3.1242918876320244e-09,0.2334966190301052
280,3.078271190888585e-09,0.23005722300646822
285,3.0340305291100775e-09,0.22675085941418388
290,2.9912822538059497e-09,0.22355603059796617
295,2.949790987715167e-09,0.22045514543745098
300,2.909380912285784e-09,0.21743506398319737
305,2.8699395902986326e-09,0.21448738314372956
310,2.8314129736722092e-09,0.21160806358957707
315,2.7938003947196195e-09,0.20879705542059032
320,2.7571481271582217e-09,0.20605781694250447
325,2.721537190761017e-09,0.20339640323715905
330,2.6870712552075725e-09,0.20082056214647964
335,2.6538595224522167e-09,0.1983384549716649
340,2.6220047369917706e-09,0.19595776041031873
345,2.591589086735047e-09,0.19368462084590696
350,2.5626624344146305e-09,0.19152276281227879
355,2.5352304332235685e-09,0.18947260880563843
360,2.5092532477006277e-09,0.18753118168881364
365,2.4846338542778414e-09,0.185691230322698
370,2.4612270958610873e-09,0.18394190626805312
375,2.438834802664954e-09,0.18226839913694098
380,2.417217457303473e-09,0.18065280839322925
385,2.3961021957980796e-09,0.17907474131474552
390,2.375192031609602e-09,0.17751200235917552
395,2.3541808610190732e-09,0.17594171460399666
400,2.3327658460777287e-09,0.17434124519680788
405,2.3106610056418394e-09,0.17268922109291018
410,2.2876096450679695e-09,0.1709664579991834
415,2.2633948175122224e-09,0.169156742208208
420,2.237851320099607e-09,0.1672477271422148
425,2.2108719935233037e-09,0.16523140415900897
430,2.182412300000954e-09,0.16310444468943835
435,2.15249432867951e-09,0.16086849958474086
440,2.1212055013057242e-09,0.15853010238372492
445,2.0886986827088647e-09,0.1561006775697891
450,2.0551891296324695e-09,0.15359631253926104
455,2.0209427299160422e-09,0.15103687864661025
460,1.986275788001504e-09,0.1484460151740898
465,1.951538221487116e-09,0.14584987351186166
470,1.917109095925635e-09,0.14327678344732808
475,1.883377689447192e-09,0.14075583801357214
480,1.8507341847399925e-09,0.13831619784659613
485,1.819554479820385e-09,0.13598595600526722
490,1.7901849105463225e-09,0.13379099619533036
495,1.7629276073002365e-09,0.1317538983886132
500,1.7380268635354503e-09,0.1298929200647155
