replication,n_btc,n_eth,hy_covariance,hy_correlation,rv_btc,rv_eth,sync_correlation_1s
0,4301,4546,7.146235603294158e-10,0.000985131456266703,4.511281748313777e-07,1.1664505591388015e-06,-0.01308566631402533
1,4624,4854,-3.222944557460934e-09,-0.004175100448918692,4.864957760484018e-07,1.2248777284627746e-06,0.0286254790195516
2,4344,4685,-5.986842600334992e-09,-0.00870876327369797,4.2207378366005564e-07,1.1196810601926682e-06,-0.02682108161316346
3,4488,4828,-5.938516212242337e-09,-0.008045332160459336,4.4869719585678704e-07,1.2142680814725598e-06,-0.04313985511763293
4,4358,4658,1.9687138109208693e-08,0.026921089674409624,4.6290738814016083e-07,1.1552761143365573e-06,-0.07367625972310837
5,4482,4748,9.688611199214508e-09,0.01310997667703387,4.394906012960994e-07,1.2427095226161388e-06,-0.005837444172253094
6,4057,4200,-5.296557946974013e-09,-0.007672451670485983,4.3559072702977145e-07,1.0940584061845544e-06,0.023124272806625774
7,4366,4558,-5.135124145806852e-10,-0.0007034549253029567,4.5140252111178153e-07,1.1804982977799814e-06,-0.03158620156679049
8,4564,4653,-1.5205452843951972e-08,-0.02104431172999845,4.615087678229416e-07,1.1312258176955235e-06,-0.03518513029229684
9,4142,4376,9.992212070561157e-09,0.014371755040033938,4.3871445440943233e-07,1.1018481062706188e-06,0.03355862821091041
10,4267,4571,-1.4495113939116152e-08,-0.02035932469500578,4.391839249699995e-07,1.1541708301489575e-06,0.04181094561041835
11,4453,4545,5.187250925270451e-09,0.007088347231454429,4.436114356399837e-07,1.2072071885529303e-06,-0.02120600983359807
12,4039,4328,5.086174560973381e-09,0.007703887306268586,4.1164712745850716e-07,1.0588576804106557e-06,0.0032581110208233085
13,4348,4413,2.7447179569766425e-09,0.0038759485749581377,4.4039041647331334e-07,1.1386796917644806e-06,0.05911304479949297
14,4170,4518,-1.2419275619670369e-08,-0.018231721020132378,4.229336257231943e-07,1.0971474094263813e-06,0.014105311082310354
15,4258,4456,5.64960576690993e-09,0.007876761304664403,4.4765104560515845e-07,1.1492150742126258e-06,0.030072930535958414
16,4179,4357,4.43886751617776e-09,0.006277626317280603,4.4470825096772256e-07,1.1242897685550375e-06,-0.0293366367126535
17,4314,4765,1.2734516409981849e-08,0.017166255640501813,4.4975612206133756e-07,1.223592142964413e-06,-0.010026126562108998
18,4261,4474,1.4370674369301351e-08,0.020944055670845136,4.3466636590812706e-07,1.0831202960368489e-06,0.020258012753063583
19,4228,4457,-8.047874577143984e-09,-0.012264453989764544,4.180588642600902e-07,1.0299793696960192e-06,0.0015641116500083594
20,4099,4247,6.324079302615361e-12,9.405617962678198e-06,4.103472546247713e-07,1.10171284546605e-06,-0.034783842249904585
21,4491,4690,2.3729455138261595e-08,0.03246272297958204,4.4895930033736726e-07,1.1901416902566394e-06,0.006214248732778992
22,4250,4252,4.576198951788835e-08,0.06693305997717765,4.29890230392989e-07,1.0873537557600626e-06,-0.01502446517281758
23,4295,4548,2.954396196346546e-08,0.041458245500160626,4.350657414078606e-07,1.1672415707613105e-06,0.01828476848152441
24,4141,4338,-6.082159974744036e-09,-0.008984697267508382,4.247701802446761e-07,1.078834335563171e-06,0.030990333235464046
25,4294,4629,-1.8877590643723907e-08,-0.025611622754931944,4.4612267112049057e-07,1.2177682369362168e-06,0.018484315757325055
26,4622,4832,-4.519782358224192e-09,-0.0059239017707980735,4.7624256659052736e-07,1.222337507299945e-06,0.025006953479894484
27,4155,4317,2.0288331154318536e-08,0.0294963796975962,4.3575324911014605e-07,1.0857118691267886e-06,0.015368202580533506
28,4334,4649,-1.1977409865949757e-08,-0.017250564981630728,4.298595914227345e-07,1.1214826372373693e-06,0.018169928579196064
29,4408,4515,-1.3123178823084588e-08,-0.018171272519247994,4.816772028078308e-07,1.0828076567199141e-06,-0.0788685999738444
30,4522,4653,1.543425756359681e-08,0.020521199250739943,4.784165605898265e-07,1.1823874403908475e-06,-0.016173504231160693
31,4268,4471,6.72363552185652e-09,0.00961912408636064,4.406014613445235e-07,1.1088973314772902e-06,-0.012273403566276587
32,4495,4625,2.898073754014921e-08,0.0403642687246349,4.534879212207236e-07,1.1367343032805003e-06,0.02014413833839733
33,3941,4339,3.3863540806366838e-09,0.005303928574313995,3.814448415432173e-07,1.0686553216275805e-06,0.017427711669339506
34,4265,4492,3.445303744725798e-08,0.048141965953219706,4.578796918303994e-07,1.1185515596679152e-06,-0.01262442656813554
35,4315,4519,-1.26977363230453e-08,-0.017815054704579603,4.4355807729352333e-07,1.14532250912626e-06,-0.05339126272139085
36,4579,4694,1.8648794064435604e-08,0.025641939371288062,4.457027949494621e-07,1.1867368027406214e-06,0.05986905603050322
37,4403,4624,-2.8537106845141357e-08,-0.0395980886264022,4.489090123627696e-07,1.1569460600968312e-06,-0.011238650591037437
38,4379,4853,-2.6341674825273565e-08,-0.0362836503940393,4.475203013139375e-07,1.1777471982106946e-06,-0.011778810995329576
39,4142,4277,-2.7759360048656135e-09,-0.004004622481543394,4.4097522425809963e-07,1.0896362621570132e-06,0.0010015625313611585
40,4060,4353,4.234877274419027e-09,0.006184953418149734,4.2583131363984365e-07,1.10095913116902e-06,0.04943893527777949
41,4387,4562,2.1485693232482022e-08,0.02944016287079335,4.679343850988207e-07,1.1382387465605648e-06,-0.003497242533047659
42,4107,4300,-2.616391747974633e-09,-0.003942375860048464,4.2003270378603445e-07,1.0485916177614782e-06,-0.008404658587076395
43,4484,4644,-4.141376188336529e-09,-0.005690856543362698,4.578958656761685e-07,1.1565578642565609e-06,0.005222813791587679
44,4417,4573,5.352547499082764e-09,0.007719061098620908,4.2040150350823123e-07,1.143741402095881e-06,-0.0037191416046804403
45,4350,4657,-1.960720567871877e-08,-0.027752453805632946,4.270159267137738e-07,1.168919379338898e-06,-0.06297876405443009
46,4313,4483,3.175860937772993e-08,0.04381793234022104,4.635589673301114e-07,1.1332199398446513e-06,0.05351303327983023
47,4219,4222,2.276449703087584e-08,0.03267568876181122,4.4014338001520043e-07,1.1027382598776335e-06,-0.0018021107011100867
48,4206,4515,-3.5890757683211356e-10,-0.0005288187594976761,4.23280060983947e-07,1.0882376225649434e-06,0.010251339337749018
49,4316,4260,-1.1713173796542929e-08,-0.016482061077115917,4.527076109632825e-07,1.115599575274689e-06,-0.05038428709291351
50,4231,4424,5.373244823583434e-09,0.008017816792797816,4.1248011137951034e-07,1.0888247600130361e-06,-0.034424690734846206
51,4564,4862,-1.4328224212249428e-08,-0.019201377934494772,4.622177717478025e-07,1.2046844556587698e-06,0.03511204260807914
52,4659,4912,2.3987497091497615e-10,0.00029343121254881696,5.170798911194302e-07,1.2924079027165746e-06,-0.02816746736013873
53,4150,4471,-5.568538847016252e-09,-0.00817622038635482,4.1058840140935487e-07,1.1297195702677592e-06,0.009938714140283003
54,4633,4891,2.2841425063088845e-09,0.003113859976462336,4.5958278221097137e-07,1.170804769325275e-06,-0.037711703583231095
55,4133,4479,-1.9024028022579593e-08,-0.028374713017111287,4.1310335182601684e-07,1.0881362529264974e-06,-0.044126794000522884
56,4309,4673,4.988048977431038e-09,0.007072833200163925,4.290722691292914e-07,1.1591620090367472e-06,-7.891222154969697e-05
57,4257,4592,5.2637258301366194e-09,0.007708910352905452,4.1967274949992633e-07,1.110937840202146e-06,0.03183813037935207
58,4105,4412,9.319363243841202e-09,0.013572757791436098,4.2700770686603206e-07,1.1040800632356381e-06,-0.0013941483744400755
59,4396,4765,1.2337748945341884e-08,0.01648298501074824,4.67190034651151e-07,1.199241253285143e-06,-0.0014561598876465282
60,4370,4469,1.2513148273390986e-08,0.017544348920246387,4.4732998489156625e-07,1.1371837870399487e-06,0.04031760203631046
61,4168,4316,4.954824168293748e-08,0.07220014169882037,4.390441410975722e-07,1.07268500273104e-06,0.0030097040952551646
62,4409,4639,-1.0628423769677816e-09,-0.001494888836081027,4.5740726210091925e-07,1.1051389137087923e-06,-0.025886932093726316
63,4247,4450,-7.692819743045521e-09,-0.011317140109164915,4.2713139231926494e-07,1.081773244658376e-06,-0.00937195873136989
64,4315,4589,6.388441561133815e-09,0.00877833823165422,4.385566098046469e-07,1.2076457886573498e-06,0.007192178497789512
65,4329,4634,3.419154665659939e-09,0.004838300192377084,4.197903027015985e-07,1.18965071460738e-06,0.05141975860683173
66,4125,4356,-1.608208101219884e-08,-0.02413505752047617,4.0660995253674196e-07,1.091967744585389e-06,-0.03271532047330533
67,4314,4600,3.1926678717927172e-09,0.004299165903147603,4.5527151652733875e-07,1.2113470732966895e-06,0.0638978408412588
68,4307,4471,-1.4118732287222306e-08,-0.020318189214299422,4.2685053759217384e-07,1.131216088876471e-06,0.031357893853211256
69,4213,4482,-1.4744808202987405e-08,-0.021239606428564848,4.328029146281653e-07,1.1135126334293966e-06,-0.036027962207187375
70,4394,4585,-1.303798575414328e-08,-0.01813090281866645,4.499946541374633e-07,1.149144888713134e-06,0.013758265389748644
71,4366,4570,1.6918691317612502e-08,0.023580213487214195,4.57971613725549e-07,1.1240859198742733e-06,0.04829695650325958
72,4178,4472,1.3255086850622524e-08,0.018749050403790598,4.2891817695742226e-07,1.165284985634593e-06,0.006286186905481464
73,4058,4194,1.2894171173853381e-08,0.019437511679927143,4.1667841121778647e-07,1.0560987494920395e-06,0.030652450578107397
74,4395,4592,-2.5429383165065978e-08,-0.03416251201519822,4.5528966374114207e-07,1.2169823109763032e-06,0.004915226377267541
75,4391,4704,-7.51339727514258e-09,-0.010309104719166007,4.575467519126555e-07,1.1609013787611956e-06,0.005568747514336651
76,4566,4876,3.961534311282291e-08,0.051991670862947835,4.634568984764657e-07,1.2527082664724907e-06,0.018193429983267142
77,4604,4885,4.198898553201405e-09,0.005623872801637235,4.477803036958807e-07,1.2449009510008507e-06,0.019015074835230218
78,4066,4204,-7.486465793175353e-11,-0.00011378406404957345,4.1509676033226917e-07,1.042897105852792e-06,0.0008532535089349118
79,4054,4232,-2.3126187156000157e-08,-0.03503819716326572,4.219093652380901e-07,1.0325364744725277e-06,-0.029188036811681403
80,4587,4925,-1.2747516055908265e-08,-0.017404257867682762,4.559271109913504e-07,1.17664295542046e-06,-0.017033330190072287
81,4223,4391,-1.2441604071650257e-08,-0.018318466060840075,4.351528185642346e-07,1.0600656063575946e-06,-0.033336792440183734
82,4491,4729,1.4902585628441184e-08,0.01999601563376034,4.6261173573282366e-07,1.2006589723043354e-06,0.01985211584521666
83,4371,4742,-1.596754983000987e-08,-0.022064305855683423,4.424099702466772e-07,1.1837803219000685e-06,-0.01965180737687921
84,4150,4359,8.084164813932674e-09,0.011647694019119807,4.558139293369876e-07,1.0568243679042508e-06,-0.02094517902644789
85,4294,4509,-7.963663029045055e-09,-0.01126250777485688,4.465638735981202e-07,1.1196233739140155e-06,0.013380156370491387
86,4449,4637,9.137080598890094e-09,0.013164880856085123,4.453533313082507e-07,1.081624062810904e-06,-0.005220049024951362
87,4113,4516,-3.068141461336239e-08,-0.0442411657522018,4.316574974039749e-07,1.1141876656903821e-06,-0.021434698017249523
88,4157,4198,2.105271941458907e-08,0.0315915434753181,4.151343953267611e-07,1.0697591190989253e-06,0.013993546426731502
89,4482,4628,1.9719127683489093e-08,0.028010251386572208,4.5697315796478965e-07,1.084552785804127e-06,0.0461700539983039
90,4452,4807,-2.467657019479767e-08,-0.0318523758730535,4.67109260536639e-07,1.2848944474168144e-06,-0.003841326684414451
91,4356,4437,1.6544360102159394e-08,0.02353805298655393,4.403068754207233e-07,1.1220272622951512e-06,0.030036228344767067
92,4292,4541,-9.265343557729128e-09,-0.013160288593761078,4.5978126769640804e-07,1.0780550927585003e-06,0.004444805994739175
93,4346,4656,1.4605791274305121e-08,0.021973562724894972,3.9824146140059656e-07,1.109437270492278e-06,0.01682160336970413
94,4235,4463,-2.7148775219405153e-08,-0.03730192810849282,4.4622524898155895e-07,1.1870903688970988e-06,0.02828806817231802
95,4624,4891,1.83044697505161e-08,0.024618493468885245,4.751353321067972e-07,1.16352048287326e-06,0.007768346138426706
96,4352,4661,1.4384190353191245e-08,0.020185261339503446,4.446046167817659e-07,1.1421630914296286e-06,0.04793200813888694
97,4218,4522,3.815655834796443e-09,0.005233707562132925,4.4234238809795863e-07,1.2016027881498332e-06,0.006284834539979966
98,4476,4703,-2.1045102206431036e-10,-0.0002882233540882746,4.59055337788084e-07,1.1613916553232552e-06,0.01819373428056878
99,4499,4596,-1.088582029125963e-09,-0.001515298738394035,4.444363409302179e-07,1.161224617973539e-06,0.0018144104546580148
100,4309,4403,-1.1691244436714847e-09,-0.001785000515326675,4.0460319488493873e-07,1.0602675796078415e-06,-0.012306974196366623
101,4462,4738,4.1282153595815265e-09,0.005625701313990774,4.6767724479516226e-07,1.15139704481033e-06,0.0032302176271313304
102,4513,4668,1.320747004353047e-08,0.018313326221040288,4.4501615763298426e-07,1.1687699193263054e-06,0.024159436076019402
103,4372,4655,3.524829475992027e-08,0.05084502592275972,4.1203173970838347e-07,1.166402938168569e-06,0.05176758444129448
104,4355,4697,8.131915651936481e-09,0.011788190878813871,4.1398747015746835e-07,1.1494873988435893e-06,-0.01055151803199085
105,4253,4459,-8.975513419961583e-09,-0.013204685788876557,4.22928261194544e-07,1.0924353663490499e-06,-0.008363536393226288
106,4712,4946,3.277515813199768e-08,0.04050199083522264,5.018943476560714e-07,1.304741705603793e-06,0.02088677976571531
107,4258,4543,5.29397486946905e-09,0.007336356377757949,4.569227233971658e-07,1.1396202413261326e-06,0.007873848632974021
108,4607,4897,3.775305562027425e-08,0.05121720507738338,4.5212339491085146e-07,1.2017537476622558e-06,0.048490910387778995
109,4505,4824,-1.7858770691133295e-08,-0.023502903196505172,4.544218352826802e-07,1.2705767582438031e-06,0.020588048930561455
110,4607,4794,-7.605061695893516e-09,-0.010091271679149482,4.706000780738753e-07,1.206873333254144e-06,-0.03743741075905463
111,4402,4620,-1.0167787968814332e-08,-0.013689818009710683,4.585022505387948e-07,1.203139932060779e-06,0.0014210395140464417
112,4317,4636,2.938522981461477e-08,0.04244873407261718,4.263193908083005e-07,1.1240706554774294e-06,0.008665647557703313
113,4192,4474,1.7847064013845705e-08,0.026586144048729575,4.0702686506798575e-07,1.107132961470921e-06,0.02953411031329294
114,4456,4730,-9.098062513426291e-09,-0.012512733136540867,4.6213813841925426e-07,1.1439884979305634e-06,-0.0011535793904635242
115,4267,4507,-4.579661457989374e-09,-0.006706351188716946,4.2987562986000627e-07,1.0848041555041264e-06,-0.03696403768024293
116,4094,4204,-7.908774510184063e-09,-0.012394430568823878,3.9677884254919686e-07,1.0261638771355112e-06,-0.023256274850906845
117,4350,4584,1.584023664604266e-08,0.020905435340022302,4.719254339012289e-07,1.2165543486026653e-06,0.01980563484452912
118,4412,4618,-4.158578397571554e-09,-0.005700771672790886,4.54326844830545e-07,1.171262108623168e-06,0.022701647896555606
119,4368,4622,1.970783302941148e-08,0.027450508115222625,4.691233246104484e-07,1.098727378017807e-06,0.0381899558686129
120,4526,4635,-2.2859471235511616e-08,-0.03159224047974084,4.5712924285840137e-07,1.1453349237133093e-06,-0.03494692751999916
121,4265,4549,-2.650315356646777e-09,-0.003771654460220708,4.201986210561244e-07,1.1751050348330226e-06,0.017133567170668287
122,4208,4425,-7.609259705489368e-09,-0.011118547350091006,4.502406289350232e-07,1.0402651072601098e-06,0.03232451392284571
123,4346,4542,1.7980046393163684e-08,0.025177427797713963,4.3792451147148363e-07,1.164554032137777e-06,0.05740013884595771
124,3972,3966,7.1744939547940995e-09,0.010751825705673972,4.129975843151772e-07,1.078128695664523e-06,0.012176040072201499
125,4260,4538,3.853560939933723e-09,0.005510506612088761,4.399941106019904e-07,1.1114618064017528e-06,0.041855776944399105
126,4388,4594,-2.3706724822333314e-08,-0.03400265093432511,4.2288657564413495e-07,1.1494594742068638e-06,-0.030145817467267952
127,4436,4450,-1.093418399268883e-08,-0.015144515635409547,4.895259095962238e-07,1.0648447556344207e-06,-0.055740840419485516
128,4580,4847,-6.925764184612111e-09,-0.00918909527471161,4.797965552072281e-07,1.1839483754970134e-06,-0.058542243061883374
129,4261,4552,-9.683247568365134e-10,-0.0014208258738486717,4.235474629388644e-07,1.0966253270193362e-06,-0.020061435868177206
130,4337,4672,-1.0183813001791859e-08,-0.014146010395196262,4.391339830968848e-07,1.1802006225289599e-06,0.008230954943113489
131,4209,4457,2.0162054156608447e-08,0.028477731181158514,4.416797844012881e-07,1.1348834415240172e-06,0.02172667882491666
132,4556,4672,1.1382054547816327e-08,0.015403328632793709,4.590263022244112e-07,1.1895277866237076e-06,0.012163663590751553
133,4313,4471,-3.899088662662312e-08,-0.054800965211057144,4.5297259264464913e-07,1.1175780942976803e-06,-0.0008550832833180701
134,4292,4714,-4.6696561260944565e-09,-0.006223672398047111,4.6731960959709575e-07,1.2046540553293783e-06,0.020579477792842745
135,4392,4446,1.985687403162872e-08,0.027460961682044014,4.641731716651556e-07,1.126445648664611e-06,0.024758345749610684
136,4372,4492,3.1895510025139586e-08,0.04616039476021783,4.330505787367179e-07,1.1025072409875502e-06,0.06886484023817507
137,4401,4561,-3.615945398800663e-08,-0.05031152422259576,4.332342913476384e-07,1.1923011251141683e-06,-0.0612699474132561
138,4426,4625,9.451322087242714e-09,0.01336471210565617,4.616725880987257e-07,1.0832577936272859e-06,0.012305644083169514
139,4680,4970,2.230279913648261e-08,0.028675714484589016,4.795953251336968e-07,1.2612910376322939e-06,-4.373498871792843e-05
140,4474,4686,-4.480421379972297e-09,-0.00628411763369936,4.32239681035085e-07,1.176046451059356e-06,0.06181641123070629
141,4151,4308,-1.8548732273417772e-08,-0.02823626883064247,4.1277926281971925e-07,1.0454324547919508e-06,-0.02490227474880949
142,4133,4417,1.2617862680729139e-08,0.01946365120548974,4.009644443122068e-07,1.048134710970914e-06,-0.00659725168859299
143,4461,4662,-1.2100962547351185e-10,-0.00016301666464432936,4.620443920508713e-07,1.1925926373819342e-06,0.06051832517039062
144,4068,4322,2.6669724118704678e-08,0.038568242730995024,4.1648100413414887e-07,1.1481064191039908e-06,0.002761263923142436
145,4091,4345,7.018033396554994e-09,0.01015932725979281,4.4332892011879085e-07,1.076402994753623e-06,0.024082191834891967
146,4322,4722,-1.3571419669015332e-09,-0.0018555712762346297,4.412064829574805e-07,1.2124208415908598e-06,0.00886505164623512
147,4183,4490,-6.211341718693091e-09,-0.008931696453878866,4.382297336600179e-07,1.103573071213835e-06,-0.041899405874930476
148,4247,4539,1.21076171460813e-09,0.0017365036946130018,4.266310581626227e-07,1.1394977390173445e-06,-0.009806559129270535
149,4037,4268,-2.261873447348127e-08,-0.03480229359385418,4.018568950886296e-07,1.0511130968648705e-06,-0.0032888558081883373
150,4127,4439,2.3687172479857486e-09,0.003443857714514642,4.204375793089922e-07,1.1252124218656684e-06,0.0029312189353897966
151,4084,4395,-7.805733781865107e-09,-0.011473674825927387,4.3670227163044966e-07,1.0598317965776097e-06,0.009899296028969556
152,4521,4828,-1.2167715523249038e-08,-0.0160388835445396,4.6195059074188196e-07,1.2458745089120877e-06,-0.02181154695154862
153,4180,4154,1.810539661942321e-08,0.02550491069359952,4.635526289811227e-07,1.0870998182643674e-06,0.019230230008487025
154,4219,4609,-2.4841497037179286e-09,-0.003378692538074467,4.4438544842376754e-07,1.216461460099608e-06,-0.03740993052314344
155,4262,4653,-2.716037652339038e-08,-0.03758083611851861,4.4473018513881914e-07,1.174470434791192e-06,-0.06220750648171038
156,4409,4636,-1.631116319010077e-08,-0.022612366112241253,4.247177141767196e-07,1.225116738972695e-06,-0.06554560537229483
157,4277,4282,-1.601208707273021e-08,-0.02306927861894801,4.449325783898072e-07,1.0827636098664364e-06,-0.0691441349227908
158,4435,4534,1.2120204171061486e-08,0.01664973324661995,4.4859538612084823e-07,1.1812736307062032e-06,-6.020224878971589e-05
159,4385,4617,1.2628824668676469e-08,0.017389049041172625,4.7123177054373033e-07,1.1192823103316047e-06,0.013704826579536962
160,4576,5027,-1.970760443467e-08,-0.024998886439135497,4.79123811458819e-07,1.2971153266652905e-06,0.026924244594856345
161,4163,4392,8.100216893756086e-09,0.012087909010287235,3.9930717399332433e-07,1.1245630722233184e-06,-0.0498475465728341
162,4567,4820,2.4972814903567984e-08,0.03278125633256253,4.7176825404806633e-07,1.23014157246698e-06,0.005998286457456552
163,4288,4479,1.90123443506768e-08,0.026899319507966507,4.3681566949576497e-07,1.1436431873887032e-06,0.02786767051112716
164,4315,4583,1.3976577475472484e-09,0.001957156246923465,4.419386805994167e-07,1.1539544360746522e-06,0.018630938998244202
165,4542,4853,3.860176058433011e-09,0.005225088601469535,4.540626748061112e-07,1.202018368057395e-06,-0.003270099780225608
166,4338,4748,6.0746361023072206e-09,0.008156286348016913,4.54336239312232e-07,1.2208947493461251e-06,0.0414446516448276
167,4023,4242,-7.0948724676085956e-09,-0.010190718190382211,4.2145035054407245e-07,1.1500935908447488e-06,-0.015431374734820065
168,4434,4642,-8.323418272045195e-09,-0.011515935740243564,4.5470350637641056e-07,1.1488852935274218e-06,-0.011353043098706533
169,4121,4370,6.146641567999312e-09,0.008959378259191344,4.276109136565511e-07,1.1007057904021367e-06,0.039906874628838816
170,4546,4862,2.523169042587262e-09,0.0032325362164039155,4.794803245322019e-07,1.270676815379654e-06,-0.016024499443492865
171,4476,4673,5.609869835143292e-09,0.008002165860454755,4.2681929201824745e-07,1.1514535695912823e-06,-0.02488477473784585
172,4591,4932,6.3040831336213985e-09,0.008510632975691499,4.5226999914359475e-07,1.2131719476853842e-06,0.02135107704613347
173,4377,4695,2.3561420040401093e-08,0.03415173038158328,4.298485481812406e-07,1.1072916701169135e-06,0.018952824915173673
174,4331,4463,-9.434226268862767e-09,-0.013596873972277651,4.1775762526191166e-07,1.1524180346792342e-06,-0.012377791371491876
175,4527,4799,1.8891643598446982e-08,0.025647405825230278,4.67570242294759e-07,1.160394699885025e-06,-0.0006335353186381574
176,4181,4486,1.1204563015460841e-08,0.016670909040450828,4.1956630023348105e-07,1.0766404312105781e-06,0.01959760421692192
177,4131,4294,1.019587572274405e-08,0.015664772484712063,4.112799993373294e-07,1.0300618274326693e-06,-0.012805956402533987
178,4090,4398,1.7447717628927807e-08,0.026254516829717967,4.0469786502297545e-07,1.0912852227367867e-06,0.03408308855012657
179,4317,4517,-1.0732407733128806e-08,-0.014877285856154436,4.4088396299260624e-07,1.1803820858210876e-06,0.006968440910609508
180,4574,4772,1.940760441429352e-08,0.025934150712483138,4.618716951659119e-07,1.2124908050501876e-06,0.007552734345128411
181,4277,4518,1.2099751235369663e-08,0.01694053381977685,4.3599782484389954e-07,1.1700768249165534e-06,0.015273446170214453
182,4366,4648,2.540529367178507e-09,0.0036568939909930134,4.3407808218218425e-07,1.111874677991526e-06,-0.001522244245629295
183,4382,4511,-1.6527988565530478e-08,-0.022290828718507384,4.598960176686036e-07,1.1954404004314149e-06,0.020167965253370196
184,4464,4809,-1.1172325141957208e-08,-0.01451353772980765,4.629959477421862e-07,1.2798626637311245e-06,-0.03427105753088329
185,4329,4470,6.183203764550434e-09,0.008793635525304742,4.401402131497658e-07,1.1233087596232524e-06,-0.016645542799241297
186,4370,4388,-1.9196769923837814e-08,-0.027364873215033614,4.590481120683545e-07,1.0720406006069687e-06,0.00958756331106966
187,4071,4251,-9.322050517661226e-09,-0.01349928031490276,4.1763801922615307e-07,1.141830516171696e-06,0.009698008087217064
188,4479,4725,2.6990823654703125e-08,0.03674960258963803,4.5494419977598955e-07,1.1856836987435112e-06,-1.932276393113287e-05
189,4391,4594,4.56835321931278e-09,0.00625995547288439,4.4647980617168796e-07,1.192820356577481e-06,-0.003913578115693716
190,4354,4610,-6.57299287172005e-09,-0.009294481771261387,4.301406905998134e-07,1.1626940086583627e-06,0.009182316046697916
191,4410,4624,-1.8109545011178167e-08,-0.025871205578716732,4.4760934810559884e-07,1.094668437549296e-06,-0.010922294228099398
192,4313,4353,1.0682890324767654e-08,0.015684242223396552,4.2272252400955857e-07,1.0974760938502833e-06,0.011637989192014002
193,4247,4601,6.333165887087167e-09,0.009196266671967813,4.1582112550241244e-07,1.1405440554165254e-06,-0.019391930185867854
194,4287,4508,2.9712919824037386e-09,0.0042742466984361,4.361171556458781e-07,1.1080728690455947e-06,-0.047565597697606
195,4350,4570,3.741130212252347e-08,0.05453847788354328,4.266870195381402e-07,1.1027833271603038e-06,-0.013204545669852736
196,4281,4593,3.4649844512363784e-08,0.04815700234008381,4.3283153804237914e-07,1.1960925676436685e-06,0.003953254386659993
197,4442,4616,2.3112721631922945e-08,0.0324078374433969,4.61308764649635e-07,1.102580653407431e-06,0.035512821042558665
198,4363,4477,4.041595877148102e-08,0.05749885874227048,4.338035989517177e-07,1.138922496711879e-06,0.00658526927785073
199,4396,4639,-2.5411492778720792e-08,-0.03432038509276587,4.5562676293448335e-07,1.2032249412907624e-06,-0.020538815183310563
